well_id,latitude,longitude,depth_m,temperature_c,lithology,formation
GEO-007,24.09293,-110.98052,2273.8,230.0,Rhyolite,San Ignacio
GEO-008,25.38588,-110.47722,161.3,38.4,Sedimentary,Tepetate
GEO-008,25.38588,-110.47722,240.4,42.6,Metamorphic,El Cien
GEO-008,25.38588,-110.47722,510.9,66.6,Metamorphic,Tepetate
GEO-008,25.38588,-110.47722,729.6,89.4,Andesite,Comondu
GEO-008,25.38588,-110.47722,738.4,86.5,Andesite,Comondu
GEO-008,25.38588,-110.47722,915.7,109.0,Andesite,San Ignacio
GEO-008,25.38588,-110.47722,1166.4,130.6,Rhyolite,San Ignacio
GEO-008,25.38588,-110.47722,1186.1,129.1,Andesite,Tepetate
GEO-008,25.38588,-110.47722,1480.0,153.5,Andesite,Tepetate
GEO-008,25.38588,-110.47722,1569.3,167.8,Granite,Comondu
GEO-008,25.38588,-110.47722,2231.1,225.3,Andesite,El Cien
GEO-008,25.38588,-110.47722,2378.5,241.4,Granite,Comondu
GEO-008,25.38588,-110.47722,2437.3,241.1,Andesite,San Ignacio
GEO-008,25.38588,-110.47722,2466.2,245.8,Sedimentary,San Ignacio
GEO-009,24.96178,-110.35214,162.4,30.3,Basalt,San Ignacio
GEO-009,24.96178,-110.35214,212.3,,Andesite,San Ignacio
GEO-009,24.96178,-110.35214,780.0,61.7,Sedimentary,Comondu
GEO-009,24.96178,-110.35214,901.2,60.3,Basalt,Comondu
GEO-009,24.96178,-110.35214,1154.7,77.1,Rhyolite,San Ignacio
GEO-009,24.96178,-110.35214,1175.4,73.2,Basalt,Comondu
GEO-009,24.96178,-110.35214,1332.8,83.0,Granite,El Cien
GEO-009,24.96178,-110.35214,1571.0,90.7,Andesite,Loreto Basin
GEO-009,24.96178,-110.35214,1759.2,103.0,Rhyolite,San Ignacio
GEO-009,24.96178,-110.35214,1933.8,108.4,Granite,Comondu
GEO-009,24.96178,-110.35214,2001.4,112.8,Rhyolite,Tepetate
GEO-009,24.96178,-110.35214,2113.1,116.9,Granite,Tepetate
GEO-009,24.96178,-110.35214,2280.7,121.7,Basalt,Comondu
GEO-010,25.13292,-111.22568,99.2,31.5,Granite,Tepetate
GEO-010,25.13292,-111.22568,263.0,45.4,Andesite,San Ignacio
GEO-010,25.13292,-111.22568,343.4,52.6,Granite,San Ignacio
GEO-010,25.13292,-111.22568,568.0,78.2,Sedimentary,Tepetate
GEO-010,25.13292,-111.22568,839.1,98.8,Granite,El Cien
GEO-010,25.13292,-111.22568,852.4,98.9,Andesite,El Cien
GEO-010,25.13292,-111.22568,974.3,116.3,Rhyolite,Comondu
GEO-010,25.13292,-111.22568,1271.2,142.9,Basalt,San Ignacio
GEO-010,25.13292,-111.22568,1365.9,152.2,Granite,El Cien
GEO-010,25.13292,-111.22568,1487.8,162.9,Andesite,Comondu
GEO-010,25.13292,-111.22568,1504.3,164.7,Andesite,Comondu
GEO-010,25.13292,-111.22568,1713.8,184.3,Granite,Comondu
GEO-010,25.13292,-111.22568,1983.5,209.8,Basalt,Tepetate
GEO-010,25.13292,-111.22568,2231.8,234.1,Rhyolite,Tepetate
GEO-011,24.03294,-110.32793,311.4,42.7,Rhyolite,San Ignacio
GEO-011,24.03294,-110.32793,552.3,59.3,Sedimentary,El Cien
GEO-011,24.03294,-110.32793,1050.9,89.6,Basalt,El Cien
GEO-011,24.03294,-110.32793,1209.3,99.8,Basalt,San Ignacio
GEO-011,24.03294,-110.32793,1534.9,119.4,Granite,San Ignacio
GEO-011,24.03294,-110.32793,1877.6,138.2,Basalt,El Cien
GEO-011,24.03294,-110.32793,1996.0,147.2,Granite,Tepetate
GEO-011,24.03294,-110.32793,2134.3,156.0,Rhyolite,El Cien
GEO-011,24.03294,-110.32793,2335.7,164.4,Rhyolite,El Cien
GEO-011,24.03294,-110.32793,2477.8,175.1,Granite,Comondu
GEO-012,25.55186,-111.02716,321.0,33.4,Andesite,San Ignacio
GEO-012,25.55186,-111.02716,362.3,35.8,Metamorphic,Comondu
GEO-012,25.55186,-111.02716,888.1,56.4,Andesite,El Cien
GEO-012,25.55186,-111.02716,1023.4,,Sedimentary,Loreto Basin
GEO-012,25.55186,-111.02716,1918.0,96.9,Rhyolite,Loreto Basin
GEO-012,25.55186,-111.02716,2003.4,95.0,Granite,El Cien
GEO-012,25.55186,-111.02716,2062.1,101.1,Basalt,El Cien
GEO-012,25.55186,-111.02716,2123.8,100.8,Metamorphic,San Ignacio
GEO-012,25.55186,-111.02716,2198.1,104.8,Metamorphic,Tepetate
GEO-013,25.33191,-111.19592,330.0,60.1,Andesite,Tepetate
GEO-013,25.33191,-111.19592,553.7,83.6,Granite,Comondu
GEO-013,25.33191,-111.19592,607.1,88.8,Basalt,San Ignacio
GEO-013,25.33191,-111.19592,813.0,113.0,Basalt,San Ignacio
GEO-013,25.33191,-111.19592,863.8,118.2,Basalt,Tepetate
GEO-013,25.33191,-111.19592,979.3,132.2,Basalt,El Cien
GEO-013,25.33191,-111.19592,1065.5,138.9,Andesite,San Ignacio
GEO-013,25.33191,-111.19592,1529.1,194.1,Rhyolite,Comondu
GEO-013,25.33191,-111.19592,1539.3,193.3,Granite,Tepetate
GEO-013,25.33191,-111.19592,1873.4,234.2,Sedimentary,San Ignacio
GEO-013,25.33191,-111.19592,1980.1,243.0,Metamorphic,Tepetate
GEO-013,25.33191,-111.19592,2101.9,256.8,Basalt,El Cien
GEO-013,25.33191,-111.19592,2165.6,266.2,Granite,San Ignacio
GEO-014,24.33974,-109.78178,293.6,26.3,Metamorphic,Tepetate
GEO-014,24.33974,-109.78178,305.1,27.3,Sedimentary,San Ignacio
GEO-014,24.33974,-109.78178,487.4,28.9,Rhyolite,San Ignacio
GEO-014,24.33974,-109.78178,552.2,,Basalt,San Ignacio
GEO-014,24.33974,-109.78178,633.5,34.8,Basalt,Comondu
GEO-014,24.33974,-109.78178,645.8,34.5,Metamorphic,San Ignacio
GEO-014,24.33974,-109.78178,768.2,40.9,Basalt,Comondu
GEO-014,24.33974,-109.78178,1023.1,44.0,Granite,El Cien
GEO-014,24.33974,-109.78178,1649.2,59.0,Andesite,El Cien
GEO-014,24.33974,-109.78178,1686.8,59.7,Granite,Comondu
GEO-014,24.33974,-109.78178,1819.6,67.5,Sedimentary,Tepetate
GEO-014,24.33974,-109.78178,2009.8,68.8,Andesite,El Cien
GEO-014,24.33974,-109.78178,2084.0,76.8,Sedimentary,San Ignacio
GEO-014,24.33974,-109.78178,2146.5,70.7,Andesite,Comondu
GEO-014,24.33974,-109.78178,2246.0,80.9,Rhyolite,Comondu
GEO-015,24.29092,-109.75499,217.2,32.8,Granite,Comondu
GEO-015,24.29092,-109.75499,380.8,47.2,Granite,Comondu
GEO-015,24.29092,-109.75499,1021.8,92.9,Sedimentary,Loreto Basin
GEO-015,24.29092,-109.75499,1121.1,99.9,Rhyolite,San Ignacio
GEO-015,24.29092,-109.75499,1545.5,128.6,Metamorphic,Tepetate
GEO-015,24.29092,-109.75499,1817.8,153.5,Rhyolite,El Cien
GEO-015,24.29092,-109.75499,1938.9,154.9,Metamorphic,Loreto Basin
GEO-015,24.29092,-109.75499,2100.8,166.3,Rhyolite,Comondu
GEO-015,24.29092,-109.75499,2293.0,185.9,Granite,El Cien
GEO-015,24.29092,-109.75499,2375.8,187.1,Andesite,San Ignacio
GEO-015,24.29092,-109.75499,2387.5,187.4,Granite,El Cien
GEO-016,24.29345,-110.00656,140.7,30.0,Andesite,Comondu
GEO-016,24.29345,-110.00656,831.8,,Sedimentary,Comondu
GEO-016,24.29345,-110.00656,1211.8,74.7,Andesite,Loreto Basin
GEO-016,24.29345,-110.00656,1510.9,92.1,Metamorphic,San Ignacio
GEO-016,24.29345,-110.00656,2080.8,114.5,Basalt,San Ignacio
GEO-016,24.29345,-110.00656,2119.1,117.8,Sedimentary,Loreto Basin
GEO-016,24.29345,-110.00656,2162.0,119.3,Basalt,San Ignacio
GEO-016,24.29345,-110.00656,2314.8,130.2,Granite,Comondu
GEO-016,24.29345,-110.00656,2363.5,130.0,Basalt,Comondu
GEO-016,24.29345,-110.00656,2429.1,134.7,Granite,Comondu
GEO-017,24.48679,-110.81262,160.5,30.8,Andesite,San Ignacio
GEO-017,24.48679,-110.81262,318.2,51.2,Sedimentary,San Ignacio
GEO-017,24.48679,-110.81262,354.9,51.7,Rhyolite,Comondu
GEO-017,24.48679,-110.81262,684.5,85.1,Sedimentary,San Ignacio
GEO-017,24.48679,-110.81262,1009.5,114.0,Basalt,San Ignacio
GEO-017,24.48679,-110.81262,1492.0,,Sedimentary,Comondu
GEO-017,24.48679,-110.81262,1522.0,163.8,Metamorphic,El Cien
GEO-017,24.48679,-110.81262,2005.1,211.2,Basalt,Comondu
GEO-017,24.48679,-110.81262,2216.3,232.8,Granite,San Ignacio
GEO-017,24.48679,-110.81262,2264.1,235.1,Granite,Tepetate
GEO-017,24.48679,-110.81262,2393.2,244.3,Granite,Tepetate
GEO-017,24.48679,-110.81262,2456.7,254.6,Sedimentary,El Cien
GEO-017,24.48679,-110.81262,2473.5,259.9,Andesite,Tepetate
GEO-018,24.83961,-111.14372,1663.2,170.1,Granite,Comondu
GEO-018,24.83961,-111.14372,1758.8,180.9,Metamorphic,El Cien
GEO-018,24.83961,-111.14372,1785.5,181.6,Andesite,San Ignacio
GEO-018,24.83961,-111.14372,2003.7,200.2,Granite,Tepetate
GEO-018,24.83961,-111.14372,2100.7,209.2,Metamorphic,San Ignacio
GEO-018,24.83961,-111.14372,2133.9,214.5,Metamorphic,Comondu
GEO-018,24.83961,-111.14372,2174.9,218.1,Rhyolite,Comondu
GEO-018,24.83961,-111.14372,2202.6,220.5,Rhyolite,Comondu
GEO-019,24.69111,-110.20523,191.9,29.4,Granite,Comondu
GEO-019,24.69111,-110.20523,233.0,35.0,Metamorphic,Comondu
GEO-019,24.69111,-110.20523,1142.6,87.5,Sedimentary,Tepetate
GEO-019,24.69111,-110.20523,1210.3,94.3,Rhyolite,San Ignacio
GEO-019,24.69111,-110.20523,1506.3,112.4,Basalt,El Cien
GEO-019,24.69111,-110.20523,1636.6,118.9,Granite,Tepetate
GEO-019,24.69111,-110.20523,1706.3,125.9,Andesite,San Ignacio
GEO-019,24.69111,-110.20523,2138.4,150.1,Granite,Comondu
GEO-019,24.69111,-110.20523,2475.9,172.3,Granite,San Ignacio
GEO-020,24.46597,-110.59576,129.7,26.6,Granite,Comondu
GEO-020,24.46597,-110.59576,337.4,32.5,Andesite,El Cien
GEO-020,24.46597,-110.59576,371.5,35.9,Rhyolite,Tepetate
GEO-020,24.46597,-110.59576,1229.7,66.7,Granite,San Ignacio
GEO-020,24.46597,-110.59576,1560.8,80.4,Granite,Loreto Basin
GEO-020,24.46597,-110.59576,1584.2,78.1,Andesite,El Cien
GEO-020,24.46597,-110.59576,1914.5,94.6,Andesite,Comondu
GEO-020,24.46597,-110.59576,2001.5,95.4,Andesite,Comondu
GEO-020,24.46597,-110.59576,2306.1,109.9,Granite,Comondu
